Threshold,Trop.,Arid,Temp.,Conti.
0,194.87931898260763,101.165660907658,119.753287642131,140.21172381672852
1,193.57922188120276,71.96453564552685,119.42865128036198,140.12384719839935
2,191.53084894103628,56.66690807608834,118.24711066173886,139.58653327297662
3,188.22966020372817,46.31777423158566,116.75930123177552,138.38955180152047
4,185.0625192623382,37.96007833619659,115.06828816011736,136.25853749950008
5,181.91729070768926,31.23241108206693,113.03630220347222,132.4017682069472
6,178.2908474698958,25.44761194224571,110.88044881711502,126.62275150251598
7,173.97345129797577,20.107316037978546,108.35243807828455,118.00615009804295
8,169.39468336964433,15.791173489220522,105.56325742425611,107.30469295406267
9,164.5614567464639,12.565778492909782,102.97834638583134,94.64255656964536
10,158.72986040591496,9.986707446158544,100.28670549822859,82.20312042663977
11,151.30428615709974,7.75489868814474,97.30413573151192,71.59781539074233
12,141.5834493187755,5.82110059744675,93.93451020775022,62.08644557926947
13,130.90583466814036,4.262412575411785,89.44006775389785,52.844108029014336
14,121.20161188470264,3.113268457108793,84.24729885408811,44.897222078484525
15,111.14791365515913,2.2784252083579553,79.59462550392469,38.742440109888626
16,100.8124072463369,1.5878531903887294,75.16608420628128,33.777672937114055
17,91.5681175130949,1.0513387453976444,70.66853213623337,29.428808458501223
18,81.8297331042717,0.6993232833372277,66.05192528790788,25.309776469805414
19,70.97918468642932,0.4698485983643651,60.69186155979318,21.32503984789118
20,59.85216426639025,0.3227212355674514,53.623003810618236,17.832196570823395
21,50.06478605675798,0.21514422984111994,45.66057608664864,14.943101362341672
22,42.56462832578419,0.13089873297177188,37.48307708838397,12.620724244190484
23,35.564406050507394,0.07260165867125322,29.309955521437153,10.162630197898544
24,28.105140087881875,0.033967973499797854,20.981923976895214,7.4593936902684375
25,21.20849862347552,0.015330704988188398,13.464819468409521,4.5326034525015375
26,15.015936079611375,0.006018117637787766,7.514268481747516,2.4994728748341184
27,10.132892521923079,0.003156984904478694,4.064451286172348,1.3344773224014834
28,6.159859142401983,0.0016208788260385833,2.188410334673226,0.6690936194038472
29,3.3989674017325604,0.0004908766605120701,1.1249278047807092,0.3127052349296303
30,1.7315549687623217,4.322170258307688e-05,0.5744850348392285,0.14182741709973098
31,0.9092186807132709,4.322170258307688e-05,0.31039859787814233,0.05704260109923275
32,0.4795038127608123,0,0.14289445047780774,0.016519571171498607
33,0.2377793470894036,,0.0533295309240609,0.004999751703949806
34,0.12044795571609358,,0.030231216179041023,0.0015849728468829546
35,0.05617402725661363,,0.01278973966905334,0.0005108101396160954
36,0.0263296898293347,,0.002068181588998816,0.00011380242669603344
37,0.007845587002377332,,0.00023474291685137043,0
38,0.0029486890900960803,,8.238523631518062e-05,
39,0.0010747491785548177,,8.238523631518062e-05,
40,0.0002350206088647589,,8.238523631518062e-05,
41,7.99801422020827e-05,,0,
42,0,,,
