,This study,Bastin et al.,Tolgyesi et al.,Mo et al.,Walker et al.,FLRO-25
Trop.,181.83,239.62,225.94,240.05,318.19,272.68
Arid,31.18,166.31,203.32,166.77,153.79,61.97
Temp.,112.93,144.11,126.11,144.12,139.23,189.05
Cont.,131.99,206.26,200.46,206.83,576.65,147.44
Polar,5.62,15.17,19.37,13.91,134.91,5.21
